,name,Top 100,end,change
516,Snakehips - All My Friends,,2k,-10%
517,The Dirty Heads - That's All I Need,1,5k,
518,Justin Timberlake - Suit & Tie,2,2k,-16%
519,Kid Rock - All Summer Long,6,2k,-1%
520,Bruno Mars - When I Was Your Man,47,2k,+22%
521,Bob Seger & The Silver Bullet Band - Old Time Rock...,,1k,-0%
522,Panic! At the Disco - Don't Threaten Me with a Goo...,9,2k,+47%
523,Vanilla Ice - Ice Ice Baby,,2k,-8%
524,Lil Dicky - $ave Dat Money,23,2k,-13%
525,Beyoncé - Love On Top,,1k,-1%
526,Eagles - Desperado,4,1k,
527,Meghan Trainor - Watch Me Do,5,3k,-36%
528,"2Pac, Roger Troutman & Dr. Dre - California Love",,2k,-1%
529,AC/DC - Highway to Hell,,2k,-0%
530,Eminem & Nate Dogg - 'Till I Collapse,,2k,-9%
531,Lynyrd Skynyrd - Sweet Home Alabama,,2k,-4%
532,Adele - Water Under the Bridge,36,1k,-42%
533,Tyler Farr - Better in Boots,4,1k,+20%
534,Pitbull - Timber,300,2k,-11%
535,Rihanna - Stay,28,1k,-10%
536,Mike Stud - Swish,,2k,+48%
537,Calvin Harris & Disciples - How Deep Is Your Love,142,2k,-8%
538,Drake - 0 To 100 / The Catch Up,176,2k,-8%
539,Love & The Outcome - The God I Know,,2k,+2%
540,Zac Brown Band - Toes,,2k,+6%
541,Alisan Porter - Blue Bayou,5,2k,+196%
542,Kygo - Happy Birthday,,1k,
543,Big Sean - I Don't Fuck With You,203,1k,-4%
544,Miley Cyrus - Party In the U.S.A.,4,2k,-0%
545,Taylor Swift - Out Of The Woods,92,2k,-8%
546,Marian Hill - One Time,,1k,
547,MONSTA X - 걸어 All In,,,
548,Eminem - Rap God,132,2k,-9%
